title,description,start_time,end_date,end_time,booking_date,booking_time,duration,festivals,weekend,vacation_time,unnamed:_18,unnamed:_19,unnamed:_20,selling_price,person_count,duration_hours,commercial_slot,lead_days,competitor_price,outlier_score,outlier_reason,is_global_outlier,slot_lag_price_1,slot_lag_price_2,days_since_last_booking,rolling_price_mean_30,bookings_last_7d,bookings_last_30d,occupancy_rate_7d,occupancy_rate_30d,booking_velocity,month,month_sin,month_cos,year,day_of_week,week_of_year,day_of_year,is_weekend,is_festival,festival_name,festival_detected,festival_category,festival_tier,festival_demand_level,festival_multiplier,festival_overlap_hours,festival_overlap_percentage,festival_window_start,festival_window_end,is_peak_festival,multiple_festival_overlap,highest_priority_festival,is_festival_eve,days_before_festival,days_after_festival,is_long_weekend,is_consecutive_holiday,is_school_vacation,is_local_vacation,is_vacation,season,is_peak_season,is_off_season,slot_type,slot_capacity_hours,commercial_units,duration_bucket,is_extended_booking,hours_over_24,effective_daily_rate,extended_discount_ratio,extended_stay,slot_utilization_ratio,opportunity_cost_factor,is_couple,is_family,is_corporate,weather_condition,lead_time_bucket,lead_time_cat,competitor_diff,temperature,rain_probability,humidity,wind_speed,cloud_cover,demand_score,business_confidence_score,month_slot_avg,month_weekend_slot_avg,month_guest_slot_avg,month_festival_slot_avg,month_leadtime_slot_avg,month_weather_slot_avg,hierarchical_fallback_avg,hierarchical_confidence_score,hierarchical_matched_level,slot_month_weekend_ratio,slot_month_weekend_diff,segment_mean,segment_median,segment_trimmed_mean,segment_weighted_median,segment_std,segment_count,segment_confidence,p25_price,p75_price,is_friday_night,is_saturday_day,is_saturday_night,is_sunday_day,is_sunday_night,is_holiday_bridge,wedding_season,is_same_day,is_lead_1_3d,is_lead_4_7d,is_lead_8_14d,is_lead_15_30d,is_lead_31_60d,is_lead_60d_plus,lead_time_demand_curve,current_occupancy_pct,remaining_inventory,booking_pace,occupancy_trend,demand_index,festival_importance_score,highest_revenue_weekday,highest_revenue_month,weekend_premium_ratio,summer_demand_ratio,winter_demand_ratio,rain_impact_ratio,similar_booking_density_30d,price_momentum_30d,historical_variance,is_near_holiday
Farm Booked,Rent: 3300 room + kitchen,2023-12-21 10:00:00,2023-12-21 22:00:00,2023-12-21 22:00:00,2023-12-17,16:13:41,12.0,0,0,0,,,,3300.0,4,12.0,12H Day,3,0.0,0, (Strict),False,2500.0,1200.0,0.0,2300.0,5.0,11.0,0.7142857142857143,0.36666666666666664,0.7142857142857143,12,-2.4492935982947064e-16,1.0,2023,6,50,351,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,6600.0,1.0,0,1.0,1.0,0,1,0,Clear,1,Last Minute,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,90.0,2078.5714285714284,2078.5714285714284,2192.8571428571427,2078.5714285714284,2058.3333333333335,2078.5714285714284,2172.7272727272725,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1.0,0.15833333333333333,101.0,1.9479988208113805,0.34761904761904766,54.22998820811381,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 2800,2023-12-23 07:00:00,2023-12-23 18:00:00,2023-12-23 18:00:00,2023-12-17,15:43:44,11.0000000002328,0,0,0,,,,2800.0,4,12.0,12H Day,5,0.0,0, (Strict),False,3300.0,2500.0,0.0,2371.4285714285716,6.0,12.0,0.8571428571428571,0.4,0.8571428571428571,12,-2.4492935982947064e-16,1.0,2023,6,50,351,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,5600.0,1.0,0,1.0,1.0,0,1,0,Clear,1,Standard,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,90.0,2096.4285714285716,2096.4285714285716,2228.5714285714284,2096.4285714285716,2000.0,2096.4285714285716,2228.5714285714284,0.7999999999999999,3,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1.0,0.15833333333333333,101.0,2.142803572767823,0.4571428571428571,56.178035727678235,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 2000,2023-12-18 08:00:00,2023-12-18 16:00:00,2023-12-18 16:00:00,2023-12-18,07:37:48,7.99999999953434,0,0,0,,,,2000.0,4,12.0,12H Day,0,0.0,0, (Strict),False,2800.0,3300.0,1.0,2325.0,7.0,13.0,1.0,0.43333333333333335,1.0,12,-2.4492935982947064e-16,1.0,2023,0,51,352,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,4000.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Same Day,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,2125.0,2125.0,2285.714285714286,2125.0,2112.5,2125.0,2290.909090909091,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0.15833333333333333,101.0,2.307639054483358,0.5666666666666667,57.82639054483358,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm booked,Rent: 2500 only room,2023-12-18 19:00:00,2023-12-19 06:00:00,2023-12-19 06:00:00,2023-12-18,12:40:45,11.0000000002328,0,0,0,,,,2500.0,4,12.0,12H Night,0,0.0,0, (Month),False,8500.0,8500.0,0.0,2500.0,8.0,14.0,1.0,0.4666666666666667,1.1428571428571428,12,-2.4492935982947064e-16,1.0,2023,0,51,352,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Night,12.0,0.5,12H,0,0.0,5000.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Same Day,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,2166.6666666666665,2166.6666666666665,2250.0,2166.6666666666665,2000.0,2166.6666666666665,2166.6666666666665,0.5,5,1.25,0.0,2250.0,2250.0,2250.0,2250.0,288.67513459481296,4.0,0.8,2000.0,2500.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0.15833333333333333,101.0,2.448927114827131,0.5333333333333333,59.239271148271314,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 2700,2023-12-20 11:00:00,2023-12-20 21:00:00,2023-12-20 21:00:00,2023-12-19,15:28:17,9.99999999976717,0,0,0,,,,2700.0,4,12.0,12H Day,0,0.0,0, (Strict),False,2000.0,2800.0,1.0,2366.6666666666665,9.0,15.0,1.0,0.5,1.2857142857142858,12,-2.4492935982947064e-16,1.0,2023,1,51,353,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,5400.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Same Day,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,2100.0,2100.0,2235.714285714286,2100.0,2083.3333333333335,2100.0,2227.2727272727275,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0.15833333333333333,101.0,2.571377143885694,0.5,60.46377143885694,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm booked,Rent: 4500,2023-12-23 19:00:00,2023-12-24 18:00:00,2023-12-24 18:00:00,2023-12-19,15:41:18,23.0000000002328,0,1,0,,,,4500.0,4,24.0,24H Night,4,0.0,0, (Month+Slot),False,3000.0,5000.0,0.0,4160.0,10.0,16.0,1.0,0.5333333333333333,1.4285714285714286,12,-2.4492935982947064e-16,1.0,2023,1,51,353,1,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,1,0,24H Night,24.0,1.0,24H,0,0.0,4500.0,1.0,0,1.0,1.0,0,1,0,Clear,1,Standard,0.0,26.0,20.0,60.0,4.2,25.0,100.0,90.0,3900.0,4900.0,3975.0,3900.0,5000.0,3900.0,5000.0,0.7,3,1.563,1500.0,4166.666666666667,4500.0,4166.666666666667,4500.0,836.6600265340755,9.0,1.0,3700.0,4800.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.15833333333333333,101.0,2.678521206298811,0.4666666666666667,81.53521206298811,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm booked,Rent: 2000,2023-12-22 09:00:00,2023-12-22 18:00:00,2023-12-22 18:00:00,2023-12-20,12:07:04,9.0,0,0,0,,,,2000.0,4,12.0,12H Day,1,0.0,0, (Strict),False,2700.0,2000.0,1.0,2330.0,10.0,17.0,1.0,0.5666666666666667,1.4285714285714286,12,-2.4492935982947064e-16,1.0,2023,2,51,354,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,4000.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Last Minute,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,2125.0,2125.0,2285.714285714286,2125.0,2112.5,2125.0,2290.909090909091,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.15833333333333333,101.0,2.5209639157628314,0.43333333333333335,59.95963915762832,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm booked by Monu,"Rent: 2500
Full facilities",2023-12-28 20:00:00,2023-12-29 08:00:00,2023-12-29 08:00:00,2023-12-23,14:40:06,12.0,0,0,1,,,,2500.0,4,12.0,12H Night,5,0.0,0, (Month),False,2500.0,8500.0,3.0,2500.0,9.0,18.0,1.0,0.6,1.2857142857142858,12,-2.4492935982947064e-16,1.0,2023,5,51,357,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,1,winter,1,1,12H Night,12.0,0.5,12H,0,0.0,5000.0,1.0,0,1.0,1.0,0,1,0,Clear,1,Standard,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,90.0,2166.6666666666665,2166.6666666666665,2250.0,2166.6666666666665,2166.6666666666665,2166.6666666666665,2166.6666666666665,0.5,5,1.25,0.0,2250.0,2250.0,2250.0,2250.0,288.67513459481296,4.0,0.8,2000.0,2500.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0,0.15833333333333333,101.0,2.142821429166657,0.4,56.17821429166657,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm booked by Divyesh,"Rent: 1500

Only room",2023-12-30 13:00:00,2023-12-30 17:30:00,2023-12-30 17:30:00,2023-12-23,11:04:13,4.5,0,0,1,,,,1500.0,4,12.0,12H Day,7,0.0,1,MAD (Strict),False,2000.0,2700.0,0.0,2280.0,10.0,19.0,1.0,0.6333333333333333,1.4285714285714286,12,-2.4492935982947064e-16,1.0,2023,5,51,357,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,1,winter,1,1,12H Day,12.0,0.5,12H,0,0.0,3000.0,1.0,0,1.0,1.0,0,1,0,Clear,1,Standard,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,90.0,2142.8571428571427,2142.8571428571427,2321.4285714285716,2142.8571428571427,2433.3333333333335,2142.8571428571427,2321.4285714285716,0.7999999999999999,3,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.15833333333333333,101.0,2.2556034829525253,0.3666666666666667,57.30603482952525,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm booked by Vishal,Rent: 2500,2023-12-29 08:00:00,2023-12-29 20:00:00,2023-12-29 20:00:00,2023-12-26,15:01:54,12.0,0,0,1,,,,2500.0,4,12.0,12H Day,2,0.0,0, (Strict),False,1500.0,2000.0,3.0,2250.0,4.0,20.0,0.5714285714285714,0.6666666666666666,0.5714285714285714,12,-2.4492935982947064e-16,1.0,2023,1,52,360,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,1,winter,1,1,12H Day,12.0,0.5,12H,0,0.0,5000.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Last Minute,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,90.0,2107.1428571428573,2107.1428571428573,2250.0,2107.1428571428573,2091.6666666666665,2107.1428571428573,2245.4545454545455,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.15833333333333333,101.0,0.8571300001928543,-0.09523809523809523,43.32130000192854,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
