date,festival_name,is_holiday,holiday_scope,holiday_description,demand_multiplier,is_eve
2023-10-24,Dussehra (Vijayadashami),1,Gujarat Public Holiday,State public holiday in Gujarat (Fafda-Jalebi day).,1.6,0
2023-11-12,Diwali (Lakshmi Pujan),1,Gujarat Public Holiday,Biggest festival in Gujarat! 5-day state holiday starts.,2.0,0
2023-11-14,Bestu Varas (Gujarati New Year 2080),1,Gujarat State Peak Holiday,Official Vikram Samvat New Year in Gujarat. All businesses closed.,2.1,0
2023-11-15,Bhai Dooj (Bhai Beej),1,Gujarat Public Holiday,Official holiday in Gujarat.,1.6,0
2023-11-18,Labh Pancham,1,Gujarat Commercial Holiday,Official re-opening day of Gujarati businesses.,1.5,0
2023-11-27,Dev Diwali / Guru Nanak Jayanti,1,Public Holiday,End of Diwali festive period.,1.35,0
2023-12-25,Christmas,1,National Public Holiday,Public holiday across India.,1.5,0
2023-12-31,New Year Eve,0,Commercial Peak,Massive farm party night.,1.9,1
2024-01-01,New Year,1,National / Corporate Holiday,Commercial holiday.,1.3,0
2024-01-14,Uttarayan (Makar Sankranti),1,Gujarat Public Holiday,State-wide official holiday in Gujarat.,1.85,0
2024-01-15,Vasi Uttarayan,1,Gujarat Public Holiday,Major regional holiday in Gujarat.,1.7,0
2024-01-26,Republic Day,1,National Public Holiday,Gazetted national holiday.,1.4,0
2024-03-08,Maha Shivratri,1,Gujarat Public Holiday,State holiday in Gujarat.,1.35,0
2024-03-24,Holi (Holika Dahan),0,Cultural Observance,Evening bonfire rituals.,1.3,1
2024-03-25,Dhuleti,1,Gujarat Public Holiday,Official public holiday in Gujarat.,1.8,0
2024-03-29,Good Friday,1,Public Holiday,Public holiday.,1.25,0
2024-04-11,Eid-ul-Fitr,1,Public Holiday,Public holiday.,1.4,0
2024-04-14,Dr. Ambedkar Jayanti,1,Public Holiday,State & national holiday.,1.25,0
2024-04-17,Ram Navami,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.25,0
2024-04-21,Mahavir Jayanti,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.2,0
2024-05-01,Gujarat Foundation Day,1,Gujarat State Holiday,Official Gujarat State formation day.,1.3,0
2024-05-23,Buddha Purnima,1,Public Holiday,Bank holiday in India.,1.2,0
2024-06-17,Bakri Eid (Eid-ul-Adha),1,Public Holiday,Public holiday in Gujarat.,1.35,0
2024-07-07,Rath Yatra (Ahmedabad),1,Gujarat Public Holiday,Massive local holiday in Ahmedabad.,1.5,0
2024-07-17,Muharram,1,Public Holiday,Public holiday.,1.2,0
2024-08-15,Independence Day,1,National Public Holiday,Gazetted national holiday.,1.5,0
2024-08-19,Raksha Bandhan,1,Gujarat Public Holiday,Major family holiday in Gujarat.,1.45,0
2024-08-26,Janmashtami (Krishna Jayanti),1,Gujarat Public Holiday,Highest peak festival in Gujarat!,2.0,0
2024-09-07,Ganesh Chaturthi,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.4,0
2024-09-16,Eid-e-Milad,1,Public Holiday,Public holiday.,1.2,0
2024-10-02,Mahatma Gandhi Jayanti,1,National Public Holiday,Gazetted national holiday.,1.4,0
2024-10-03,Navratri Start (Nortu 1),0,Cultural Peak,Start of Garba night festival.,1.5,0
2024-10-12,Dussehra (Vijayadashami),1,Gujarat Public Holiday,State public holiday in Gujarat.,1.6,0
2024-10-31,Diwali (Lakshmi Pujan),1,Gujarat Public Holiday,Biggest festival in Gujarat!,2.0,0
2024-11-02,Bestu Varas (Gujarati New Year 2081),1,Gujarat State Peak Holiday,Official Vikram Samvat New Year in Gujarat.,2.1,0
2024-11-03,Bhai Dooj (Bhai Beej),1,Gujarat Public Holiday,Official holiday in Gujarat.,1.6,0
2024-11-06,Labh Pancham,1,Gujarat Commercial Holiday,Commercial re-opening day in Gujarat.,1.5,0
2024-11-15,Dev Diwali / Guru Nanak Jayanti,1,Public Holiday,End of Diwali festive period.,1.35,0
2024-12-25,Christmas,1,National Public Holiday,Public holiday across India.,1.5,0
2024-12-31,New Year Eve,0,Commercial Peak,Massive farm party night.,1.9,1
2025-01-01,New Year,1,National / Corporate Holiday,Commercial holiday.,1.3,0
2025-01-14,Uttarayan (Makar Sankranti),1,Gujarat Public Holiday,State-wide official holiday in Gujarat.,1.85,0
2025-01-15,Vasi Uttarayan,1,Gujarat Public Holiday,Major regional holiday in Gujarat.,1.7,0
2025-01-26,Republic Day,1,National Public Holiday,Gazetted national holiday.,1.4,0
2025-02-26,Maha Shivratri,1,Gujarat Public Holiday,State holiday in Gujarat.,1.35,0
2025-03-14,Holi (Holika Dahan),0,Cultural Observance,Evening bonfire rituals.,1.3,1
2025-03-15,Dhuleti,1,Gujarat Public Holiday,Official public holiday in Gujarat.,1.8,0
2025-03-31,Eid-ul-Fitr,1,Public Holiday,Public holiday.,1.4,0
2025-04-06,Ram Navami,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.25,0
2025-04-10,Mahavir Jayanti,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.2,0
2025-04-14,Dr. Ambedkar Jayanti,1,Public Holiday,State & national holiday.,1.25,0
2025-04-18,Good Friday,1,Public Holiday,Public holiday.,1.25,0
2025-05-01,Gujarat Foundation Day,1,Gujarat State Holiday,Official Gujarat State formation day.,1.3,0
2025-05-12,Buddha Purnima,1,Public Holiday,Bank holiday in India.,1.2,0
2025-06-07,Bakri Eid (Eid-ul-Adha),1,Public Holiday,Public holiday.,1.35,0
2025-06-27,Rath Yatra (Ahmedabad),1,Gujarat Public Holiday,Massive local holiday in Ahmedabad.,1.5,0
2025-07-06,Muharram,1,Public Holiday,Public holiday.,1.2,0
2025-08-09,Raksha Bandhan,1,Gujarat Public Holiday,Major family holiday in Gujarat.,1.45,0
2025-08-15,Independence Day,1,National Public Holiday,Gazetted national holiday.,1.5,0
2025-08-16,Janmashtami (Krishna Jayanti),1,Gujarat Public Holiday,Highest peak festival in Gujarat!,2.0,0
2025-08-27,Ganesh Chaturthi,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.4,0
2025-09-05,Eid-e-Milad,1,Public Holiday,Public holiday.,1.2,0
2025-09-22,Navratri Start (Nortu 1),0,Cultural Peak,Start of Garba night festival.,1.5,0
2025-10-02,Dussehra / Gandhi Jayanti,1,Gujarat & National Public Holiday,Combined double public holiday.,1.7,0
2025-10-20,Diwali (Lakshmi Pujan),1,Gujarat Public Holiday,Biggest festival in Gujarat!,2.0,0
2025-10-22,Bestu Varas (Gujarati New Year 2082),1,Gujarat State Peak Holiday,Official Vikram Samvat New Year in Gujarat.,2.1,0
2025-10-23,Bhai Dooj (Bhai Beej),1,Gujarat Public Holiday,Official holiday in Gujarat.,1.6,0
2025-10-26,Labh Pancham,1,Gujarat Commercial Holiday,Commercial re-opening day in Gujarat.,1.5,0
2025-11-05,Dev Diwali / Guru Nanak Jayanti,1,Public Holiday,End of Diwali festive period.,1.35,0
2025-12-25,Christmas,1,National Public Holiday,Public holiday across India.,1.5,0
2025-12-31,New Year Eve,0,Commercial Peak,Massive farm party night.,1.9,1
2026-01-01,New Year,1,National / Corporate Holiday,Commercial holiday.,1.3,0
2026-01-14,Uttarayan (Makar Sankranti),1,Gujarat Public Holiday,State-wide official holiday in Gujarat.,1.85,0
2026-01-15,Vasi Uttarayan,1,Gujarat Public Holiday,Major regional holiday in Gujarat.,1.7,0
2026-01-26,Republic Day,1,National Public Holiday,Gazetted national holiday.,1.4,0
2026-02-15,Maha Shivratri,1,Gujarat Public Holiday,State holiday in Gujarat.,1.35,0
2026-03-03,Holi (Holika Dahan),0,Cultural Observance,Evening bonfire rituals.,1.3,1
2026-03-04,Dhuleti,1,Gujarat Public Holiday,Official public holiday in Gujarat.,1.8,0
2026-03-20,Eid-ul-Fitr,1,Public Holiday,Public holiday.,1.4,0
2026-03-27,Ram Navami,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.25,0
2026-03-31,Mahavir Jayanti,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.2,0
2026-04-03,Good Friday,1,Public Holiday,Public holiday.,1.25,0
2026-04-14,Dr. Ambedkar Jayanti,1,Public Holiday,State & national holiday.,1.25,0
2026-05-01,Gujarat Foundation Day,1,Gujarat State Holiday,Official Gujarat State formation day.,1.3,0
2026-05-27,Bakri Eid (Eid-ul-Adha),1,Public Holiday,Public holiday.,1.35,0
2026-05-31,Buddha Purnima,1,Public Holiday,Bank holiday in India.,1.2,0
2026-06-25,Muharram,1,Public Holiday,Public holiday.,1.2,0
2026-07-16,Rath Yatra (Ahmedabad),1,Gujarat Public Holiday,Massive local holiday in Ahmedabad.,1.5,0
2026-08-15,Independence Day,1,National Public Holiday,Gazetted national holiday.,1.5,0
2026-08-25,Eid-e-Milad,1,Public Holiday,Public holiday.,1.2,0
2026-08-28,Raksha Bandhan,1,Gujarat Public Holiday,Major family holiday in Gujarat.,1.45,0
2026-09-04,Janmashtami (Krishna Jayanti),1,Gujarat Public Holiday,Highest peak festival in Gujarat!,2.0,0
2026-09-14,Ganesh Chaturthi,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.4,0
2026-10-02,Mahatma Gandhi Jayanti,1,National Public Holiday,Gazetted national holiday.,1.4,0
2026-10-11,Navratri Start (Nortu 1),0,Cultural Peak,Start of Garba night festival.,1.5,0
2026-10-20,Dussehra (Vijayadashami),1,Gujarat Public Holiday,State public holiday in Gujarat.,1.6,0
2026-11-08,Diwali (Lakshmi Pujan),1,Gujarat Public Holiday,Biggest festival in Gujarat!,2.0,0
2026-11-10,Bestu Varas (Gujarati New Year 2083),1,Gujarat State Peak Holiday,Official Vikram Samvat New Year in Gujarat.,2.1,0
2026-11-11,Bhai Dooj (Bhai Beej),1,Gujarat Public Holiday,Official holiday in Gujarat.,1.6,0
2026-11-14,Labh Pancham,1,Gujarat Commercial Holiday,Commercial re-opening day in Gujarat.,1.5,0
2026-11-24,Dev Diwali / Guru Nanak Jayanti,1,Public Holiday,End of Diwali festive period.,1.35,0
2026-12-25,Christmas,1,National Public Holiday,Public holiday across India.,1.5,0
2026-12-31,New Year Eve,0,Commercial Peak,Massive farm party night.,1.9,1
2027-01-01,New Year,1,National / Corporate Holiday,Commercial holiday.,1.3,0
2027-01-14,Uttarayan (Makar Sankranti),1,Gujarat Public Holiday,State-wide official holiday in Gujarat.,1.85,0
2027-01-15,Vasi Uttarayan,1,Gujarat Public Holiday,Major regional holiday in Gujarat.,1.7,0
2027-01-26,Republic Day,1,National Public Holiday,Gazetted national holiday.,1.4,0
2027-03-06,Maha Shivratri,1,Gujarat Public Holiday,State holiday in Gujarat.,1.35,0
2027-03-10,Eid-ul-Fitr,1,Public Holiday,Public holiday.,1.4,0
2027-03-22,Holi (Holika Dahan),0,Cultural Observance,Evening bonfire rituals.,1.3,1
2027-03-23,Dhuleti,1,Gujarat Public Holiday,Official public holiday in Gujarat.,1.8,0
2027-03-26,Good Friday,1,Public Holiday,Public holiday.,1.25,0
2027-04-14,Dr. Ambedkar Jayanti,1,Public Holiday,State & national holiday.,1.25,0
2027-04-15,Ram Navami,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.25,0
2027-04-19,Mahavir Jayanti,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.2,0
2027-05-01,Gujarat Foundation Day,1,Gujarat State Holiday,Official Gujarat State formation day.,1.3,0
2027-05-16,Bakri Eid (Eid-ul-Adha),1,Public Holiday,Public holiday.,1.35,0
2027-05-20,Buddha Purnima,1,Public Holiday,Bank holiday in India.,1.2,0
2027-06-14,Muharram,1,Public Holiday,Public holiday.,1.2,0
2027-07-05,Rath Yatra (Ahmedabad),1,Gujarat Public Holiday,Massive local holiday in Ahmedabad.,1.5,0
2027-08-15,Independence Day / Eid-e-Milad,1,National & Public Holiday,Combined gazetted holiday.,1.5,0
2027-08-17,Raksha Bandhan,1,Gujarat Public Holiday,Major family holiday in Gujarat.,1.45,0
2027-08-25,Janmashtami (Krishna Jayanti),1,Gujarat Public Holiday,Highest peak festival in Gujarat!,2.0,0
2027-09-04,Ganesh Chaturthi,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.4,0
2027-10-01,Navratri Start (Nortu 1),0,Cultural Peak,Start of Garba night festival.,1.5,0
2027-10-02,Mahatma Gandhi Jayanti,1,National Public Holiday,Gazetted national holiday.,1.4,0
2027-10-09,Dussehra (Vijayadashami),1,Gujarat Public Holiday,State public holiday in Gujarat.,1.6,0
2027-10-29,Diwali (Lakshmi Pujan),1,Gujarat Public Holiday,Biggest festival in Gujarat!,2.0,0
2027-10-31,Bestu Varas (Gujarati New Year 2084),1,Gujarat State Peak Holiday,Official Vikram Samvat New Year in Gujarat.,2.1,0
2027-11-01,Bhai Dooj (Bhai Beej),1,Gujarat Public Holiday,Official holiday in Gujarat.,1.6,0
2027-11-04,Labh Pancham,1,Gujarat Commercial Holiday,Commercial re-opening day in Gujarat.,1.5,0
2027-11-14,Dev Diwali / Guru Nanak Jayanti,1,Public Holiday,End of Diwali festive period.,1.35,0
2027-12-25,Christmas,1,National Public Holiday,Public holiday across India.,1.5,0
2027-12-31,New Year Eve,0,Commercial Peak,Massive farm party night.,1.9,1
